interview_date,quest_no,start,end,province,district,ward,village,years_farm,agr_assoc,no_membrs,_members_count,remittance_money,years_liv,parents_liv,sp_parents_liv,grand_liv,sp_grand_liv,respondent_roof_type,respondent_wall_type,respondent_wall_type_other,respondent_floor_type,window_type,buildings_in_compound,rooms,other_buildings,no_plots,plots_count,water_use,no_group_count,yes_group_count,no_enough_water,months_no_water,period_use,exper_other,other_meth,res_change,memb_assoc,resp_assoc,fees_water,affect_conflicts,need_money,money_source,money_source_other,crops_contr,emply_lab,du_labour,liv_owned,liv_owned_other,liv_count,poultry,du_look_aftr_cows,items_owned,items_owned_other,no_meals,months_lack_food,no_food_mitigation,gps_Latitude,gps_Longitude,gps_Altitude,gps_Accuracy,instanceID
17-Nov-16,1,2017-03-23T09:49:57.000Z,2017-04-02T17:29:08.000Z,Manica,Manica,Bandula,God,11,no,3,3,no,4,no,yes,no,yes,grass,muddaub,NULL,earth,no,1,1,no,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,no,['poultry'],NULL,1,yes,no,['bicycle' ;  'television' ;  'solar_panel' ;  'table'],NULL,2,['Jan'],['na' ;  'rely_less_food' ;  'reduce_meals' ;  'day_night_hungry'],-19.11225943,33.48345609,698,14,uuid:ec241f2c-0609-46ed-b5e8-fe575f6cefef
17-Nov-16,1,2017-04-02T09:48:16.000Z,2017-04-02T17:26:19.000Z,Manica,Manica,Bandula,God,2,yes,7,7,no,9,yes,yes,yes,yes,grass,muddaub,NULL,earth,no,1,1,no,3,3,yes,NULL,3,yes,['Aug' ;  'Sept'],2,yes,no,NULL,yes,no,no,once,no,NULL,NULL,more_half,yes,no,['oxen' ;  'cows' ;  'goats'],NULL,3,yes,no,['cow_cart' ;  'bicycle' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'solar_torch' ;  'table' ;  'mobile_phone'],NULL,2,['Jan' ;  'Sept' ;  'Oct' ;  'Nov' ;  'Dec'],['na' ;  'reduce_meals' ;  'restrict_adults' ;  'borrow_food' ;  'seek_government'],-19.11247712,33.48341568,690,19,uuid:099de9c9-3e5e-427b-8452-26250e840d6e
17-Nov-16,3,2017-04-02T14:35:26.000Z,2017-04-02T17:26:53.000Z,Manica,Manica,Bandula,God,40,no,10,10,no,15,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,1,1,no,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,['none'],NULL,1,yes,no,['solar_torch'],NULL,2,['Jan' ;  'Feb' ;  'Mar' ;  'Oct' ;  'Nov' ;  'Dec'],['na' ;  'restrict_adults' ;  'lab_ex_food'],-19.1121076,33.48344998,674,13,uuid:193d7daf-9582-409b-bf09-027dd36f9007
17-Nov-16,4,2017-04-02T14:55:18.000Z,2017-04-02T17:27:16.000Z,Manica,Manica,Bandula,God,6,no,7,7,no,6,no,no,no,no,mabatisloping,burntbricks,NULL,earth,no,1,1,no,3,3,no,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,['oxen' ;  'cows'],NULL,2,yes,no,['bicycle' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'mobile_phone'],NULL,2,['Sept' ;  'Oct' ;  'Nov' ;  'Dec'],['na' ;  'reduce_meals' ;  'restrict_adults' ;  'lab_ex_food'],-19.11222901,33.48342395,679,5,uuid:148d1105-778a-4755-aa71-281eadd4a973
17-Nov-16,5,2017-04-02T15:10:35.000Z,2017-04-02T17:27:35.000Z,Manica,Manica,Bandula,God,18,no,7,7,no,40,yes,no,yes,no,grass,burntbricks,NULL,earth,no,1,1,no,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,no,['oxen' ;  'cows' ;  'goats' ;  'poultry'],NULL,4,yes,no,['motorcyle' ;  'radio' ;  'cow_plough' ;  'mobile_phone'],NULL,2,['Aug' ;  'Sept' ;  'Oct' ;  'Nov'],['na' ;  'go_forest' ;  'migrate'],-19.11221722,33.48342524,689,10,uuid:2c867811-9696-4966-9866-f35c3e97d02d
17-Nov-16,6,2017-04-02T15:27:25.000Z,2017-04-02T17:28:02.000Z,Manica,Manica,Bandula,God,3,no,3,3,no,3,no,no,no,no,grass,muddaub,NULL,earth,no,1,1,no,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,['none'],NULL,1,no,no,NULL,NULL,2,['Aug' ;  'Sept' ;  'Oct'],['borrow_food' ;  'lab_ex_food' ;  'seek_government'],-19.1121959,33.48339187,692,12,uuid:daa56c91-c8e3-44c3-a663-af6a49a2ca70
17-Nov-16,7,2017-04-02T15:38:01.000Z,2017-04-02T17:28:19.000Z,Manica,Manica,Bandula,God,20,no,6,6,no,38,yes,no,yes,no,grass,muddaub,NULL,earth,no,1,1,yes,4,4,yes,NULL,4,yes,['Aug' ;  'Sept' ;  'Oct'],10,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,more_half,no,no,['oxen'],NULL,1,no,no,['motorcyle' ;  'cow_plough'],NULL,3,['Nov'],['lab_ex_food'],-19.11221904,33.48336498,709,11,uuid:ae20a58d-56f4-43d7-bafa-e7963d850844
16-Nov-16,8,2017-04-02T15:59:52.000Z,2017-04-02T17:28:39.000Z,Manica,Manica,Manica,Chirodzo,16,yes,12,12,no,70,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,cement,no,2,3,yes,2,2,yes,NULL,2,yes,['Sept' ;  'Oct'],10,yes,no,NULL,yes,yes,no,never,no,NULL,NULL,abt_half,yes,no,['oxen' ;  'goats'],NULL,2,yes,no,['motorcyle' ;  'bicycle' ;  'television' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'solar_torch' ;  'table' ;  'fridge'],NULL,2,['Jan'],['rely_less_food' ;  'limit_variety' ;  'reduce_meals' ;  'restrict_adults' ;  'borrow_food'],-19.11215963,33.48341914,700,9,uuid:d6cee930-7be1-4fd9-88c0-82a08f90fb5a
16-Nov-16,9,2017-04-02T16:23:36.000Z,2017-04-02T16:42:08.000Z,Manica,Manica,Bandula,Chirodzo,16,no,8,8,no,6,yes,no,yes,no,grass,burntbricks,NULL,earth,no,2,1,yes,3,3,yes,NULL,3,yes,['Oct' ;  'Nov'],6,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,more_half,yes,yes,['oxen' ;  'cows' ;  'goats'],NULL,3,yes,no,['television' ;  'solar_panel' ;  'solar_torch'],NULL,3,['Jan' ;  'Dec'],['rely_less_food' ;  'limit_variety' ;  'limit_portion' ;  'restrict_adults' ;  'lab_ex_food'],-19.11221518,33.48343695,701,11,uuid:846103d2-b1db-4055-b502-9cd510bb7b37
16-Dec-16,10,2017-04-02T17:03:28.000Z,2017-04-02T17:25:11.000Z,Manica,Manica,Bandula,Chirodzo,22,no,12,12,no,23,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,1,5,no,2,2,yes,NULL,2,yes,['Sept' ;  'Oct' ;  'Nov'],22,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,more_half,yes,no,['oxen' ;  'cows'],NULL,2,yes,no,['cow_cart' ;  'motorcyle' ;  'bicycle' ;  'television' ;  'radio' ;  'cow_plough' ;  'solar_panel' ;  'solar_torch' ;  'table'],NULL,3,['Jan' ;  'Oct' ;  'Nov' ;  'Dec'],['rely_less_food' ;  'limit_portion' ;  'restrict_adults' ;  'lab_ex_food'],-19.1122147,33.48339436,710,14,uuid:8f4e49bc-da81-4356-ae34-e0d794a23721
