key_ID,village,interview_date,years_farm,no_membrs,years_liv,respondent_roof_type,respondent_wall_type,buildings_in_compound,no_plots,water_use,months_no_water,memb_assoc,affect_conflicts,emply_lab,du_labour,liv_owned,liv_count,poultry,du_look_aftr_cows,items_owned,no_meals,months_lack_food,no_food_mitigation,gps_Latitude,gps_Longitude,instanceID
1,God,2016-11-17T00:00:00Z,11,3,4,grass,muddaub,1,2,no,NULL,NULL,NULL,no,no,poultry,1,yes,no,bicycle;television;solar_panel;table,2,Jan,na;rely_less_food;reduce_meals;day_night_hungry,-19.11225943,33.48345609,uuid:ec241f2c-0609-46ed-b5e8-fe575f6cefef
1,God,2016-11-17T00:00:00Z,2,7,9,grass, muddaub,1,3,yes,Aug;Sept,yes,once,yes,no,oxen;cows;goats,3,yes,no,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Sept;Oct;Nov;Dec,na;reduce_meals;restrict_adults;borrow_food;seek_government,-19.11247712,33.48341568,uuid:099de9c9-3e5e-427b-8452-26250e840d6e
3,God,2016-11-17T00:00:00Z,40,10,15,mabatisloping, burntbricks,1,1,no,NULL,NULL,NULL,no,yes,none,1,yes,no,solar_torch,2,Jan;Feb;Mar;Oct;Nov;Dec,na;restrict_adults;lab_ex_food,-19.1121076,33.48344998,uuid:193d7daf-9582-409b-bf09-027dd36f9007
4,God,2016-11-17T00:00:00Z,6,7,6,mabatisloping, burntbricks,1,3,no,NULL,NULL,NULL,no,yes,oxen;cows,2,yes,no,bicycle;radio;cow_plough;solar_panel;mobile_phone,2,Sept;Oct;Nov;Dec,na;reduce_meals;restrict_adults;lab_ex_food,-19.11222901,33.48342395,uuid:148d1105-778a-4755-aa71-281eadd4a973
5,God,2016-11-17T00:00:00Z,18,7,40,grass,burntbricks,1,2,no,NULL,NULL,NULL,no,no,oxen;cows;goats;poultry,4,yes,no,motorcyle;radio;cow_plough;mobile_phone,2,Aug;Sept;Oct;Nov,na;go_forest;migrate,-19.11221722,33.48342524,uuid:2c867811-9696-4966-9866-f35c3e97d02d
6,God,2016-11-17T00:00:00Z,3,3,3,grass,muddaub,1,1,no,NULL,NULL,NULL,no,yes,none,1,no,no,NULL,2,Aug;Sept;Oct,borrow_food;lab_ex_food;seek_government,-19.1121959,33.48339187,uuid:daa56c91-c8e3-44c3-a663-af6a49a2ca70
7,God,2016-11-17T00:00:00Z,20,6,38,grass,muddaub,1,4,yes,Aug;Sept;Oct,no,never,no,no,oxen,1,no,no,motorcyle;cow_plough,3,Nov,lab_ex_food,-19.11221904,33.48336498,uuid:ae20a58d-56f4-43d7-bafa-e7963d850844
8,Chirodzo,2016-11-16T00:00:00Z,16,12,70,mabatisloping,burntbricks,2,2,yes,Sept;Oct,yes,never,yes,no,oxen;goats,2,yes,no,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;fridge,2,Jan,rely_less_food;limit_variety;reduce_meals;restrict_adults;borrow_food,-19.11215963,33.48341914,uuid:d6cee930-7be1-4fd9-88c0-82a08f90fb5a
9,Chirodzo,2016-11-16T00:00:00Z,16,8,6,grass,burntbricks,2,3,yes,Oct;Nov,no,never,yes,yes,oxen;cows;goats,3,yes,no,television;solar_panel;solar_torch,3,Jan;Dec,rely_less_food;limit_variety;limit_portion;restrict_adults;lab_ex_food,-19.11221518,33.48343695,uuid:846103d2-b1db-4055-b502-9cd510bb7b37
10,Chirodzo,2016-12-16T00:00:00Z,22,12,23,mabatisloping,burntbricks,1,2,yes,Sept;Oct;Nov,no,never,yes,no,oxen;cows,2,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table,3,Jan;Oct;Nov;Dec,rely_less_food;limit_portion;restrict_adults;lab_ex_food,-19.1122147,33.48339436,uuid:8f4e49bc-da81-4356-ae34-e0d794a23721
11,God,2016-11-21T00:00:00Z,6,6,20,grass,sunbricks,2,2,no,NULL,NULL,NULL,no,yes,oxen;cows,2,no,no,radio;cow_plough,2,Oct;Nov,rely_less_food;lab_ex_food,-19.11219126,33.48345933,uuid:d29b44e3-3348-4afc-aa4d-9eb34c89d483
12,God,2016-11-21T00:00:00Z,20,7,20,mabatisloping,burntbricks,2,2,yes,Aug;Sept;Oct;Nov,yes,never,no,no,oxen;cows,2,yes,no,cow_cart;bicycle;radio;cow_plough;table,3,Sept;Oct,rely_less_food;limit_variety;reduce_meals;lab_ex_food,-19.11229465,33.48341504,uuid:e6ee6269-b467-4e37-91fc-5e9eaf934557
13,God,2016-11-21T00:00:00Z,7,6,8,grass,burntbricks,1,4,yes,Oct,no,never,yes,no,cows;goats;poultry,3,yes,no,bicycle;radio;cow_plough;mobile_phone,2,Sept;Oct;Nov,lab_ex_food,-19.11236935,33.48355635,uuid:6c00c145-ee3b-409c-8c02-2c8d743b6918
14,God,2016-11-21T00:00:00Z,20,10,20,grass,burntbricks,3,3,no,NULL,NULL,NULL,yes,yes,oxen;cows;goats,3,yes,no,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,June;July;Aug;Sept;Oct;Nov,reduce_meals;lab_ex_food,-19.11222089,33.4834388,uuid:9b21467f-1116-4340-a3b1-1ab64f13c87d
15,God,2016-11-21T00:00:00Z,30,5,30,grass,sunbricks,1,3,yes,Sept;Oct;Nov,yes,once,no,no,oxen;cows;goats,3,yes,no,bicycle;radio;cow_plough;solar_panel;table,2,Jan;Feb;Mar;Apr;May;June;July;Aug;Sept;Oct;Nov,na;rely_less_food;limit_portion;reduce_meals;lab_ex_food,-19.1120793,33.48339657,uuid:a837e545-ff86-4a1c-a1a5-6186804b985f
16,God,2016-11-24T00:00:00Z,24,6,47,grass,muddaub,2,1,no,NULL,NULL,NULL,yes,yes,oxen;cows;goats;poultry,4,no,no,radio;cow_plough;solar_panel;solar_torch,3,Jan;Feb,lab_ex_food,-19.11210678,33.48344397,uuid:d17db52f-4b87-4768-b534-ea8f9704c565
17,God,2016-11-21T00:00:00Z,10,8,20,grass,sunbricks,2,3,no,NULL,NULL,NULL,no,yes,goats,1,no,yes,mobile_phone,2,Nov;Dec,lab_ex_food,-19.11218314,33.48346325,uuid:4707f3dc-df18-4348-9c2c-eec651e89b6b
