Column1,A01_interview_date,A03_quest_no,A04_start,A05_end,A06_province,A07_district,A08_ward,A09_village,A11_years_farm,A12_agr_assoc,B11_remittance_money,B16_years_liv,B17_parents_liv,B18_sp_parents_liv,B19_grand_liv,B20_sp_grand_liv,B_no_membrs,C01_respondent_roof_type,C02_respondent_wall_type,C02_respondent_wall_type_other,C03_respondent_floor_type,C04_window_type,C05_buildings_in_compound,C06_rooms,C07_other_buildings,D_plots_count,E01_water_use,E17_no_enough_water,E19_period_use,E20_exper_other,E21_other_meth,E23_memb_assoc,E24_resp_assoc,E25_fees_water,E26_affect_conflicts,E_no_group_count,E_yes_group_count,F04_need_money,F05_money_source_other,F06_crops_contr,F08_emply_lab,F09_du_labour,F10_liv_owned_other,F12_poultry,F13_du_look_aftr_cows,F_liv_count,G01_no_meals,_members_count,_note,gps:Accuracy,gps:Altitude,gps:Latitude,gps:Longitude,instanceID
0,17/11/2016,1,2017-03-23T09:49:57.000Z,2017-04-02T17:29:08.000Z,Province1,District1,Ward2,Village2,11,no,no,4,no,yes,no,yes,3,grass,muddaub,,earth,no,1,1,no,2,no,,,,,,,,,2,,,,,no,no,,yes,no,1,2,3,,14,698,-19.11225943,33.48345609,uuid:ec241f2c-0609-46ed-b5e8-fe575f6cefef
1,17/11/2016,1,2017-04-02T09:48:16.000Z,2017-04-02T17:26:19.000Z,Province1,District1,Ward2,Village2,2,yes,no,9,yes,yes,yes,yes,7,grass,muddaub,,earth,no,1,1,no,3,yes,yes,2,yes,no,yes,no,no,once,,3,no,,more_half,yes,no,,yes,no,3,2,7,,19,690,-19.11247712,33.48341568,uuid:099de9c9-3e5e-427b-8452-26250e840d6e
2,17/11/2016,3,2017-04-02T14:35:26.000Z,2017-04-02T17:26:53.000Z,Province1,District1,Ward2,Village2,40,no,no,15,no,no,no,no,10,mabatisloping,burntbricks,,cement,yes,1,1,no,1,no,,,,,,,,,1,,,,,no,yes,,yes,no,1,2,10,,13,674,-19.1121076,33.48344998,uuid:193d7daf-9582-409b-bf09-027dd36f9007
3,17/11/2016,4,2017-04-02T14:55:18.000Z,2017-04-02T17:27:16.000Z,Province1,District1,Ward2,Village2,6,no,no,6,no,no,no,no,7,mabatisloping,burntbricks,,earth,no,1,1,no,3,no,,,,,,,,,3,,,,,no,yes,,yes,no,2,2,7,,5,679,-19.11222901,33.48342395,uuid:148d1105-778a-4755-aa71-281eadd4a973
4,17/11/2016,5,2017-04-02T15:10:35.000Z,2017-04-02T17:27:35.000Z,Province1,District1,Ward2,Village2,18,no,no,40,yes,no,yes,no,7,grass,burntbricks,,earth,no,1,1,no,2,no,,,,,,,,,2,,,,,no,no,,yes,no,4,2,7,,10,689,-19.11221722,33.48342524,uuid:2c867811-9696-4966-9866-f35c3e97d02d
5,17/11/2016,6,2017-04-02T15:27:25.000Z,2017-04-02T17:28:02.000Z,Province1,District1,Ward2,Village2,3,no,no,3,no,no,no,no,3,grass,muddaub,,earth,no,1,1,no,1,no,,,,,,,,,1,,,,,no,yes,,no,no,1,2,3,,12,692,-19.1121959,33.48339187,uuid:daa56c91-c8e3-44c3-a663-af6a49a2ca70
6,17/11/2016,7,2017-04-02T15:38:01.000Z,2017-04-02T17:28:19.000Z,Province1,District1,Ward2,Village2,20,no,no,38,yes,no,yes,no,6,grass,muddaub,,earth,no,1,1,yes,4,yes,yes,10,yes,no,no,,no,never,,4,no,,more_half,no,no,,no,no,1,3,6,,11,709,-19.11221904,33.48336498,uuid:ae20a58d-56f4-43d7-bafa-e7963d850844
7,16/11/2016,8,2017-04-02T15:59:52.000Z,2017-04-02T17:28:39.000Z,Province1,District1,Ward1,Village3,16,yes,no,70,yes,yes,yes,yes,12,mabatisloping,burntbricks,,cement,no,2,3,yes,2,yes,yes,10,yes,no,yes,yes,no,never,,2,no,,abt_half,yes,no,,yes,no,2,2,12,,9,700,-19.11215963,33.48341914,uuid:d6cee930-7be1-4fd9-88c0-82a08f90fb5a
8,16/11/2016,9,2017-04-02T16:23:36.000Z,2017-04-02T16:42:08.000Z,Province1,District1,Ward2,Village3,16,no,no,6,yes,no,yes,no,8,grass,burntbricks,,earth,no,2,1,yes,3,yes,yes,6,yes,no,no,,no,never,,3,no,,more_half,yes,yes,,yes,no,3,3,8,,11,701,-19.11221518,33.48343695,uuid:846103d2-b1db-4055-b502-9cd510bb7b37
9,16/12/2016,10,2017-04-02T17:03:28.000Z,2017-04-02T17:25:11.000Z,Province1,District1,Ward2,Village3,22,no,no,23,no,no,no,no,12,mabatisloping,burntbricks,,cement,yes,1,5,no,2,yes,yes,22,yes,no,no,,no,never,,2,no,,more_half,yes,no,,yes,no,2,3,12,,14,710,-19.1122147,33.48339436,uuid:8f4e49bc-da81-4356-ae34-e0d794a23721
10,21/11/2016,11,2017-04-03T03:16:15.000Z,2017-04-03T03:31:10.000Z,Province1,District1,Ward2,Village2,6,no,no,20,yes,yes,no,yes,6,grass,sunbricks,,earth,no,2,1,no,2,no,,,,,,,,,2,,,,,no,yes,,no,no,2,2,6,,10,707,-19.11219126,33.48345933,uuid:d29b44e3-3348-4afc-aa4d-9eb34c89d483
11,21/11/2016,12,2017-04-03T03:31:13.000Z,2017-04-03T03:58:34.000Z,Province1,District1,Ward2,Village2,20,no,yes,20,no,no,no,no,7,mabatisloping,burntbricks,,cement,no,2,3,no,2,yes,yes,20,yes,no,yes,no,no,never,,2,no,,more_half,no,no,,yes,no,2,3,7,,13,696,-19.11229465,33.48341504,uuid:e6ee6269-b467-4e37-91fc-5e9eaf934557
